"Site","Year","Month","Acarnus_erithacus","Anthopleura_artemisa","Anthopleura_sola","Astraea_turbanica","Centrostephanus_coronatus","Clavalina_huntsmania","Craniella_spp","Crassedoma_giganteum","Cucumaria_salma","Didemnum_carnulentum","Didemnum_Carnulentum","Eucaria_thouarsii","Eucidaris_spp","Haliotis_spp","Hippodiplosioa_insculpta","Hippodiplosioa_insculta","Leucetta_losangelensis","Lithopoma_spp","Lophogorgia_chilensis","Lophogorgia_chiliesnsis","Megastrea_undosa","Megatura_crenulata","Mesosentrotus_franciscanus","Metandrocarpa_taylori","Muricea californica ","Muricea_californica","Muricea_fruticosa","Norrisia _norrisi","Other_starfish","Pacifigorgia_spp","Panulirus_innterruptus         ","Parastichopus_californicus","Parastichopus_parvimensis","Pisaster_ giganteus","Pycnoclavella_stanleyi","Scallop","Spheciospongia_confoederata","Tethya_aurantia","Thelepus_Crispus"
"Gavilanes",2016,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"Gavilanes",2016,6,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66666666666667,2,7,0,0,0,0,0,0,4,0,0,0,0,1,0,1.5,0,0,0,0,0,0
"Gavilanes",2016,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"Gavilanes",2017,6,5,1,0,3,0,4,0,0,6,0,0,0,0,0,0,3,0,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gavilanes",2017,8,4.33333333333333,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4.83333333333333,1,0,1.66666666666667,0,1.5,0,0,0,0,2,0,1,0,0,0,1,0,0
"Gavilanes",2017,10,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Gavilanes",2018,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,1,0,0,0,0,0,0,1,0,0,12,0,0,0,0,2,0,0
"Piedra_Blanca",2016,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8.4,0,0,0,0,4,0,0,0,2,9.66666666666667,0,0,0,0,0,0,0,0
"Piedra_Blanca",2016,6,5.5,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.33333333333333,0,0,0,0,1.75,0,0,0,4.75,2.8,0,0,1,0,1,0,0,0
"Piedra_Blanca",2016,10,1.5,0,0,0,6,0,0,0,6.5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1.5,4,0,0,3,0,0,0,0,0,0,0,0,0
"Piedra_Blanca",2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,3.2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Piedra_Blanca",2017,6,31,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,5,0,0,0,5,14,0,0,0,3,1,4,4,0
"Piedra_Blanca",2017,8,4.16666666666667,0,0,0,5.66666666666667,4.2,1,0,0,1,0,0,1,1,2.5,0,0,0,26,0,10.75,1,0,2.33333333333333,0,1.75,0,1,0,0,7,0,0,0,0,0,2,1.33333333333333,3
"Piedra_Blanca",2017,10,32,0,0,0,5,0,6,0,17,0,0,0,0,0,0,0,0,0,2,0,27,0,0,0,0,10,10,0,0,0,0,0,0,0,0,1,0,2,0
"Piedra_Blanca",2018,3,5.4,0,0,0,5,3,0,1,7.5,0,0,1,0,0,0,0,2,10.3333333333333,0,3,0,0,0,0,2.8,0,0,0,0,0,4,0,0,0,0,0,0,0,0
