"Site","Year","Month","Acarnus_erithacus","Anthopleura_artemisa","Anthopleura_sola","Aplysia_californica","Astraea_turbanica","Centrostephanus_coronatus","Clavalina_huntsmania","Craniella_spp","Crassedoma_giganteum","Cucumaria_salma","Cyprea_spp","Didemnum_carnulentum","Didemnum_Carnulentum","Eucaria_thouarsii","Eucidaris_spp","Flabellina_lodinea","Haliotis_spp","Hippodiplosioa_insculpta","Hippodiplosioa_insculta","Leucetta_losangelensis","Lithopoma_spp","Lophogorgia_chilensis","Lophogorgia_chiliesnsis","Loxorhynchus_grandis","Macrocystis_pyrifera","Macrocystis_pyrifera_stipes","megastrea_undosa","Megastrea_undosa","Megathura","Megatura_crenulata","Mesosentrotus_franciscanus","Metandrocarpa_taylori","Muricea californica ","Muricea_californica","Muricea_fruticosa","Norrisia _norrisi","Octopus_spp","Other_starfish","Pacifigorgia_spp","Panulirus_innterruptus         ","Parastichopus_californicus","Parastichopus_parvimensis","Pisaster_ giganteus","Pycnoclavella_stanleyi","Salmacina_tribranchiata","Scallop","Spheciospongia_confoederata","Tethya_aurantia","Thelepus_Crispus","Urticina_picivora"
"Gavilanes",2016,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Gavilanes",2016,6,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66666666666667,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0
"Gavilanes",2016,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Gavilanes",2017,6,5,1,0,0,3,0,4,0,0,6,1,0,0,0,0,0,0,0,2.5,0,0,1.8,0,0,0,0,0,7.66666666666667,0,0,1,0,0,0,2,0,0,1.5,0,0,0,2,0,0,0,0,2,6.5,0,0
"Gavilanes",2017,8,3.71428571428571,0,0,0,0,0,5.66666666666667,0,0,0,0,0,1.88888888888889,0,0,0,0,0,3,0,0,3.5,0,1,9,51,0,6.09090909090909,0,1,0,2,0,1.66666666666667,0,0,0,1,0,4.33333333333333,0,2.75,0,0,1,0,1,1.5,6.16666666666667,0
"Gavilanes",2017,10,5.71428571428571,0,0,0,0,0,4,0,0,1,0,0,1,0,0,2,1,0,5,1,0,1,0,0,0,0,0,18.25,0,0,0,24,0,1,1,0,1,1,1,1,0,0,0,0,0,0,2.33333333333333,8,0,0
"Gavilanes",2018,3,6.33333333333333,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,3,0,0,0,0,0,8,0,3.2,0,3,0,3,6,0,0,4,0,1,6.5,2,0,0,0,0,2,0,0,0
"Piedra_Blanca",2016,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.4,0,0,0,0,0,4,0,0,0,0,2,9.66666666666667,0,0,0,0,0,0,0,0,0,0
"Piedra_Blanca",2016,6,5.5,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.33333333333333,0,0,0,0,0,1.75,0,0,0,0,4.75,2.8,0,0,1,0,0,1,0,0,0,0
"Piedra_Blanca",2016,10,1.5,0,0,0,0,6,0,0,0,6.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Piedra_Blanca",2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,3.2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Piedra_Blanca",2017,6,8.4,0,0,1.5,0,3,3,0,0,4,0,5.5,0,0,0,0,0,0,0,2,0,1.5,0,0,0,0,0,6,0,1,2,0,0,3.6,1.5,0,0,2.66666666666667,3.5,11,0,0,0,3,0,1,2.5,2,0,1
"Piedra_Blanca",2017,8,3,0,0,0,0,4.5,3,1,0,0,0,2,0,0,1,0,1,1.8,0,0,0,16.6,0,0,0,0,3,4.73333333333333,0,1,0,2,0,1.71428571428571,0,1,0,1.66666666666667,0,10.4285714285714,0,0,0,0,0,2,1.8,1.625,2,0
"Piedra_Blanca",2017,10,15,0,0,0,0,5,1,6,0,13.5,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15.5,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,1,1.66666666666667,2,0,0
"Piedra_Blanca",2018,3,4.25,0,0,0,0,3.83333333333333,3,0,1,7.5,0,0,0,1,0,0,0,0,0,2,15.3333333333333,0,2,0,0,0,0,0,2.5,0,0,0,3,0,0,0,0,0,0,3.88888888888889,1,0,0,0,0,0,0,4,0,2
