"Site","Year","Month","0_10 cm","1 m_2 m","10 cm_1 m","2 m","Articulated_coralline_algae ","Balanophylia_elegans","Bare_rock","Bare_sand","Bedrock_1_m","Boulder_10_cm_1_m","Branch_flat_branching ","Bryozoan","Bushy_cylindrical_branches","Cobble_10cm","Colonial_tunicate ","Crustose_coralline_algae ","Dictyotales_spp","Drift_algae       ","Egregia_menziesii","Eisenia_arborea","Encrusting_red","Lacy_filamentous_dense ","Leaf_blade_unbranched","Macrocystis_holdfast_live","Phyllospadix_spp","sand","Sand","sargassum_muticum","Sargassum_muticum","Sediment_mud","Shell_debris","Sponge","Turf_red_turf_2_cm"
"Gavilanes",2016,5,8.83333333333333,1,2,0,0,0,0,0,4.83333333333333,0,0,0,2,0,0,2.6,0,0,0,0,1.5,0,1,0,0,0,5.16666666666667,0,1.75,0,0,0,0
"Gavilanes",2016,6,0,0,0,0,5.5,0,0,0,15,5,3,0,2,0,0,0,1,0,0,0,10.5,0,0,0,0,0,8,0,0,0,0,2,0
"Gavilanes",2016,10,0,0,0,0,6.5,0,0,0,17.5,1,5.5,0,2,0,0,6.5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Gavilanes",2017,8,19,6.5,4.5,0,6,0,0,0,15.5,7,0,0,1.5,0,0,6,5.5,0,0,0,0,3,0,1,0,0,7.5,0,0,0,7.5,0,0
"Gavilanes",2017,10,22,3,6.5,0,4,0,1,11,13,4,0,1,2,5.5,0,7,2,1.5,0,0,0,0,0,1,0,9.5,0,0,0,16,0,1,2
"Gavilanes",2018,3,11.5,3,15,0,9,0,1,0,16,1.5,0,0,0,4.5,0,7.5,0,2,2.5,0,0,1.5,0,2.5,0,5.5,0,0,0,0,5.5,0,0
"Piedra_Blanca",2016,5,26.5,1,3,0,9.5,0,1,0,29,0,0,0,1,0,0,0,0,0,0,1,5,0,2,0,0,0,1,15,11,0,0,0,0
"Piedra_Blanca",2016,6,16,5,0,1,13.6666666666667,0,0,2,27,3,0,0,1.75,0,0,0,5.71428571428571,0,0,0,4.5,0,0,0,4,2,1,1,0,0,0,1,0
"Piedra_Blanca",2016,10,14,5,10,1,17.5,0,0,2,27.5,3,0,0,1.5,0,0,7.5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
"Piedra_Blanca",2017,2,8.5,5,16.5,0,7,0,3.5,3.5,17,9.5,0,0,1,0,0,10,5.5,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0
"Piedra_Blanca",2017,6,25,0,5,0,19,0,0,0,26.5,0,0,0,0,0,2,7,1,0,0,0,0,0,0,4.5,0,3.5,0,0,0,0,0,2,0
"Piedra_Blanca",2017,8,10,7,10.5,5,18.5,0,0,0,28,0,0,0,1,0,0,5,3,0,0,0,0,0,0,1,0,4,0,0,0,0,22.5,0,0
"Piedra_Blanca",2017,10,8.5,7.5,13.5,1,8,0,1,0,22,1,0,0,0,1.5,0,7.5,4,0,0,0,11,0,1,3,0,7.5,0,0,0,6,4.5,2,0
"Piedra_Blanca",2018,3,10,5.33333333333333,15.75,0,9,1,1,0,18.25,1.75,0,0,0,3.33333333333333,0,8.75,0,2,2.5,0,0,1.5,0,3,0,4,0,0,0,0,5.5,0,11
