"Site","Year","Month","0_10 cm","1 m_2 m","10 cm_1 m","2 m","Articulated_coralline_algae ","Balanophylia_elegans","Bare_rock","Bare_sand","Bedrock_1_m","Boulder_10_cm_1_m","Branch_flat_branching ","Bryozoan","Bushy_cylindrical_branches","Cobble_10cm","Colonial_tunicate ","crustose_coralline_algae ","Crustose_coralline_algae ","Cup_corals","Cystoseira_osmundasea","Dead_kelp_holdfast_any","Desmarestia_spp","dictyotales_spp","Dictyotales_spp","Drift_algae       ","Egregia_menziesii","Eisenia_arborea","Encrusting_red","Juvenile_laminariales","Lacy_filamentous_dense ","Laminaria_farlowii","Laminariales_holdfast_live","Leaf_blade_unbranched","Macrocystis_holdfast_live","Muricea_californica","Phragmatopoma   ","Phyllospadix_spp","sand","Sand","sargassum_muticum","Sargassum_muticum","Sediment_mud","Shell_debris","Sponge","Tubeworm_other_solitary","Turf_red_turf_2_cm"
"Gavilanes",2016,5,8.83333333333333,1,2,0,0,0,0,0,4.83333333333333,0,0,0,2,0,0,0,2.6,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,0,0,0,0,5.16666666666667,0,1.75,0,0,0,0,0
"Gavilanes",2016,6,0,0,0,0,5.5,0,0,0,15,5,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0
"Gavilanes",2016,10,0,0,0,0,6.5,0,0,0,17.5,1,5.5,0,2,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"Gavilanes",2017,6,13,0,17,0,12,0,1.5,0,17,10,0,0,5,0,0,0,9.5,0,0,0,1,0,1,0,0,0,0,0,1.5,0,0,7,2.5,0,0,0,0,3,0,0,0,0,0,0,4
"Gavilanes",2017,8,18.6,5.4,6.4,0,4.85714285714286,0,2,0,20.5714285714286,4.4,0,0,3,4.5,0,9,5.16666666666667,0,0,0,0,0,6.57142857142857,0,0,0,2,0,2.5,0,0,0,1.33333333333333,0,0,0,3,5.8,0,0,0,6.71428571428571,0,0,0
"Gavilanes",2017,10,14.2,3,14,0,7.6,0,1.5,5.66666666666667,15,3.33333333333333,0,1,2,5.8,0,0,5.8,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,3,0,0,0,7.2,0,0,0,15.5,3,2.5,0,2
"Gavilanes",2018,3,11.1666666666667,3,14.6666666666667,0,6.5,0,1,1,14.1666666666667,1.8,1,0,4.33333333333333,6,0,0,8.83333333333333,0,0,0,0,0,0,2.5,1.75,0,0,0,1.25,0,0,0,2.2,0,0,0,5.16666666666667,0,0,0,5.5,6.5,0,0,0
"Piedra_Blanca",2016,5,26.5,1,3,0,9.5,0,1,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,1,15,11,0,0,0,0,0
"Piedra_Blanca",2016,6,16,5,0,1,13.6666666666667,0,0,2,27,3,0,0,1.75,0,0,0,0,0,0,0,0,0,5.71428571428571,0,0,0,4.5,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,1,0,0
"Piedra_Blanca",2016,10,14,5,10,1,17.5,0,0,2,27.5,3,0,0,1.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"Piedra_Blanca",2017,2,8.5,5,16.5,0,7,0,3.5,3.5,17,9.5,0,0,1,0,0,0,10,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0
"Piedra_Blanca",2017,6,16,5,12,0,13.5,0,1,1,23.8333333333333,4.66666666666667,0,0,3.5,3.66666666666667,1.83333333333333,0,7,2,2,0,1,0,1.66666666666667,0,0,0,0,1,0,1.66666666666667,0,1.5,3,1,0,4,2.2,0,0,0,0,1,2,0,0
"Piedra_Blanca",2017,8,14.3333333333333,6.8,9.4,3.66666666666667,12.1666666666667,0,2.5,0,22.8333333333333,5,0,0,1.66666666666667,5,0,0,6,0,0,0,0,1.5,2.25,0,0,0,0,0,0,0,0,0,2,0,0,6,3.6,0,0,0,0,12,0,0,0
"Piedra_Blanca",2017,10,16.6666666666667,8,9.5,1,10.2,0,1.5,21,19,1,0,0,3,3.33333333333333,0,0,4.6,0,3,4,0,0,4,5.5,0,0,11,0,0,0,0,1,3,0,1,0,12.6,0,0,0,3.75,4.33333333333333,2,0,0
"Piedra_Blanca",2018,3,9.9,5.33333333333333,14.0909090909091,8,8.125,1,1,6,16.1818181818182,1.75,1.5,0,5,5,0,0,7.72727272727273,0,0,0,1,0,1,2,1.75,0,0,4,1.8,0,1,0,2.3,0,0,0,6.11111111111111,0,0,0,5.5,6.5,1,3,7.66666666666667
