"","X[[i]]"
"Year.1","2016"
"Year.2","2017"
"Year.3","2018"
"Month.1","5"
"Month.2","6"
"Month.3","10"
"Month.4","8"
"Month.5","3"
"Month.6","2"
"Day.1","21"
"Day.2","11"
"Day.3","23"
"Day.4","22"
"Day.5","14"
"Day.6","3"
"Day.7","13"
"Day.8","2"
"Site.1","Gavilanes"
"Site.2","Piedra_Blanca"
"Level.1","Mid"
"Level.2","Shallow"
"Level.3","Deep"
"Level.4","mid"
"Observer.1","Nur A."
"Observer.2","Memo T."
"Observer.3","Ainoa V."
"Observer.4","Pamela"
"Observer.5","Häctor H."
"Observer.6","Rodrigo B."
"Observer.7","Eliot. D."
"Observer.8","Fernanda A."
"Observer.9","Rodrigo C. "
"Observer.10","Carlos H."
"Observer.11","Daniel D."
"Observer.12","Memo T. "
"Observer.13","Ainoa V. "
"Observer.14","Nur"
"Observer.15","H_ctor H."
"Observer.16","Eliot D."
"Observer.17","Fernanda A. "
"Observer.18","Rodrigo C."
"Transect_type.1","algae"
"Transect_type.2","inverts"
"Transect_type.3","upc"
"Transect_type.4","fish"
"Transect_type.5","Algae"
"Transect_type.6","Inverts"
"Transect_number.1","1"
"Transect_number.2","2"
"Transect_section.1",NA
"Transect_section.2","0-10"
"Transect_section.3","20-Oct"
"Transect_section.4","20-30"
"Transect_section.5","Na"
"Depth_m.1","10"
"Depth_m.2","5"
"Depth_m.3","17"
"Depth_m.4","11"
"Depth_m.5","9"
"Depth_m.6","6"
"Depth_m.7","16"
"Depth_m.8","8"
"Depth_m.9","12"
"Depth_m.10","7"
"Depth_m.11","18"
"Depth_m.12","14"
"Depth_m.13","13"
"Depth_m.14","15"
"Lat.1","27.855283"
"Lat.2","27.8545"
"Lat.3","27.857767"
"Lat.4","27.870367"
"Lat.5","27.869567"
"Lat.6","27.870517"
"Long.1","-115.075783"
"Long.2","-115.075867"
"Long.3","-115.08145"
"Long.4","-115.0444"
"Long.5","-115.04445"
"Long.6","-115.044883"
"Genusspecies.1","Sargassum_muticum"
"Genusspecies.2","Eisenia_arborea"
"Genusspecies.3","Lithopoma_spp"
"Genusspecies.4","Muricea_fruticosa"
"Genusspecies.5","Panulirus_innterruptus         "
"Genusspecies.6","Bedrock_1_m"
"Genusspecies.7","Sand"
"Genusspecies.8","0_10 cm"
"Genusspecies.9","Bushy_cylindrical_branches"
"Genusspecies.10","Encrusting_red"
"Genusspecies.11","Crustose_coralline_algae "
"Genusspecies.12","Leaf_blade_unbranched"
"Genusspecies.13","10 cm_1 m"
"Genusspecies.14","1 m_2 m"
"Genusspecies.15","Semicossyphus_pulcher"
"Genusspecies.16","Paralabrax_clathratus"
"Genusspecies.17","Halichoeres_semicinctus"
"Genusspecies.18","Hypsypops_rubicundus"
"Genusspecies.19","Anisotremus_davidsonii"
"Genusspecies.20","Chromis_punctipinnis"
"Genusspecies.21","Paralabrax_nebulifer"
"Genusspecies.22","Girella_nigricans"
"Genusspecies.23","Laminaria_farlowii"
"Genusspecies.24","Macrocystis_pyrifera_stipes"
"Genusspecies.25","Macrocystis_pyrifera"
"Genusspecies.26","Articulated_coralline_algae "
"Genusspecies.27","Sponge"
"Genusspecies.28","Branch_flat_branching "
"Genusspecies.29","Boulder_10_cm_1_m"
"Genusspecies.30","Dictyotales_spp"
"Genusspecies.31","Acarnus_erithacus"
"Genusspecies.32","Leucetta_losangelensis"
"Genusspecies.33","Lophogorgia_chilensis"
"Genusspecies.34","Muricea_californica"
"Genusspecies.35","Parastichopus_parvimensis"
"Genusspecies.36","Embiotoca_jacksoni"
"Genusspecies.37","Sphyraena_afra"
"Genusspecies.38","macrocystis_pyrifera_stipes"
"Genusspecies.39","macrocystis_pyrifera"
"Genusspecies.40","Pacifigorgia_spp"
"Genusspecies.41","Cucumaria_salma"
"Genusspecies.42","Sphoeroides_spp."
"Genusspecies.43","Bare_rock"
"Genusspecies.44","Lacy_filamentous_dense "
"Genusspecies.45","Desmarestia_spp"
"Genusspecies.46","Macrocystis_holdfast_live"
"Genusspecies.47","Turf_red_turf_2_cm"
"Genusspecies.48","Hippodiplosioa_insculta"
"Genusspecies.49","Megastrea_undosa"
"Genusspecies.50","Astraea_turbanica"
"Genusspecies.51","Clavalina_huntsmania"
"Genusspecies.52","Anthopleura_artemisa"
"Genusspecies.53","Other_starfish"
"Genusspecies.54","Mesosentrotus_franciscanus"
"Genusspecies.55","Tethya_aurantia"
"Genusspecies.56","Spheciospongia_confoederata"
"Genusspecies.57","Cyprea_spp"
"Genusspecies.58","Cystoseira_osmundasea"
"Genusspecies.59","Pterygophora_californica"
"Genusspecies.60","Rhacochilus_vacca"
"Genusspecies.61","Caulolatilus_princeps"
"Genusspecies.62","Thelepus_Crispus"
"Genusspecies.63","Loxorhynchus_grandis"
"Genusspecies.64","Metandrocarpa_taylori"
"Genusspecies.65","Didemnum_Carnulentum"
"Genusspecies.66","Salmacina_tribranchiata"
"Genusspecies.67","Megatura_crenulata"
"Genusspecies.68","Shell_debris"
"Genusspecies.69","Cobble_10cm"
"Genusspecies.70","sand"
"Genusspecies.71","crustose_coralline_algae "
"Genusspecies.72","Embiotoca_lateralis"
"Genusspecies.73","Gobiidae_spp"
"Genusspecies.74","Medialuna_californiensis"
"Genusspecies.75","Undaria_pinnatifida"
"Genusspecies.76","undaria_pinnatifida"
"Genusspecies.77","Octopus_spp"
"Genusspecies.78","Flabellina_lodinea"
"Genusspecies.79","Haliotis_spp"
"Genusspecies.80","Bryozoan"
"Genusspecies.81","Bare_sand"
"Genusspecies.82","Sediment_mud"
"Genusspecies.83","Drift_algae       "
"Genusspecies.84","Juvenile_laminariales"
"Genusspecies.85","Egregia_menziesii"
"Genusspecies.86","Parastichopus_californicus"
"Genusspecies.87","Anthopleura_sola"
"Genusspecies.88","Oxyjulis_californica"
"Genusspecies.89","Centrostephanus_coronatus"
"Genusspecies.90","caulolatilus_princeps"
"Genusspecies.91","sargassum_muticum"
"Genusspecies.92","Pisaster_ giganteus"
"Genusspecies.93","Phyllospadix_spp"
"Genusspecies.94","Scallop"
"Genusspecies.95","2 m"
"Genusspecies.96","Eucidaris_spp"
"Genusspecies.97","Heterostichus_rostratus"
"Genusspecies.98","Colonial_tunicate "
"Genusspecies.99","Cup_corals"
"Genusspecies.100","Pycnoclavella_stanleyi"
"Genusspecies.101","Aplysia_californica"
"Genusspecies.102","Didemnum_carnulentum"
"Genusspecies.103","Urticina_picivora"
"Genusspecies.104","dictyotales_spp"
"Genusspecies.105","Hippodiplosioa_insculpta"
"Genusspecies.106","Craniella_spp"
"Genusspecies.107","Norrisia _norrisi"
"Genusspecies.108","megastrea_undosa"
"Genusspecies.109","Rhinobatos_productus"
"Genusspecies.110","Heterodontus_francisci"
"Genusspecies.111","Dead_kelp_holdfast_any"
"Genusspecies.112","Phragmatopoma   "
"Genusspecies.113","Muricea californica "
"Genusspecies.114","Lophogorgia_chiliesnsis"
"Genusspecies.115","Crassedoma_giganteum"
"Genusspecies.116","Eucaria_thouarsii"
"Genusspecies.117","Megathura"
"Genusspecies.118","Laminariales_holdfast_live"
"Genusspecies.119","Balanophylia_elegans"
"Genusspecies.120","Tubeworm_other_solitary"
"Genusspecies.121","Urolopus_concentricus"
"Frequency.1","27"
"Frequency.2","1"
"Frequency.3","12"
"Frequency.4","82"
"Frequency.5","2"
"Frequency.6","4"
"Frequency.7","3"
"Frequency.8","5"
"Frequency.9","6"
"Frequency.10","10"
"Frequency.11","8"
"Frequency.12","7"
"Frequency.13","9"
"Frequency.14","11"
"Frequency.15","21"
"Frequency.16","16"
"Frequency.17","18"
"Frequency.18","23"
"Frequency.19","17"
"Frequency.20","22"
"Frequency.21","410"
"Frequency.22","38"
"Frequency.23","243"
"Frequency.24","13"
"Frequency.25","163"
"Frequency.26","63"
"Frequency.27","221"
"Frequency.28","19"
"Frequency.29","15"
"Frequency.30","14"
"Frequency.31","51"
"Frequency.32","39"
"Frequency.33","28"
"Frequency.34","133"
"Frequency.35","177"
"Frequency.36","44"
"Frequency.37","162"
"Frequency.38","65"
"Frequency.39","118"
"Frequency.40","25"
"Frequency.41","26"
"Frequency.42","20"
"Frequency.43","0"
"Frequency.44","498"
"Frequency.45","30"
"Frequency.46","228"
"Frequency.47","304"
"Frequency.48","41"
"Frequency.49","205"
"Frequency.50","34"
"Frequency.51","212"
"Frequency.52","196"
"Frequency.53","24"
"Frequency.54","33"
"Frequency.55","70"
"Frequency.56","37"
"Frequency.57","80"
"Frequency.58","35"
"Frequency.59","52"
"Frequency.60","29"
"Frequency.61","101"
"Frequency.62","40"
"Frequency.63","140"
"Frequency.64","36"
"Frequency.65","75"
"Frequency.66","94"
"Frequency.67","159"
"Frequency.68","85"
"Frequency.69","57"
"Frequency.70","135"
"Frequency.71","31"
"Frequency.72","32"
"Frequency.73","66"
"Frequency.74","311"
"Frequency.75","62"
"Frequency.76","279"
"Frequency.77","153"
"Frequency.78","92"
"Frequency.79","390"
"Frequency.80","84"
"Frequency.81","402"
"Frequency.82","43"
"Frequency.83","269"
"Frequency.84","126"
"Frequency.85","136"
"Frequency.86","182"
"Frequency.87","68"
"Frequency.88","55"
"Frequency.89","345"
"Frequency.90","46"
"Frequency.91","688"
"Frequency.92","333"
"Frequency.93","59"
"Frequency.94","330"
"Frequency.95","48"
"Frequency.96","78"
"Frequency.97","102"
"Frequency.98","218"
"Frequency.99","119"
"Frequency.100","86"
"Frequency.101","206"
"Frequency.102","203"
"Frequency.103","112"
"Frequency.104","90"
"Frequency.105","235"
"Frequency.106","130"
"Size_cm.1","Na"
"Size_cm.2","20"
"Size_cm.3","10"
"Size_cm.4","5"
"Size_cm.5","15"
"Size_cm.6","11"
"Size_cm.7","25"
"Size_cm.8","30"
"Size_cm.9","29"
"Size_cm.10","40"
"Size_cm.11","60"
"Size_cm.12","8"
"Size_cm.13","12"
"Size_cm.14","7"
"Size_cm.15","6"
"Size_cm.16","13"
"Size_cm.17","14"
"Size_cm.18","18"
"Size_cm.19","26"
"Size_cm.20","35"
"Size_cm.21","28"
"Size_cm.22","32"
"Size_cm.23","50"
"Size_cm.24","45"
"Size_cm.25","23"
"Size_cm.26","52"
"Size_cm.27","34"
"Size_cm.28","38"
"Size_cm.29","17"
"Size_cm.30","22"
"Size_cm.31","43"
"Size_cm.32","33"
"Size_cm.33","36"
"Size_cm.34","31"
"Size_cm.35","27"
"Size_cm.36","37"
"Size_cm.37","21"
"Size_cm.38","55"
"Size_cm.39","80"
"Size_cm.40","3"
"Size_cm.41","4"
"Size_cm.42","9"
"Size_cm.43","63"
"Size_cm.44","51"
